Название транспорта,Пункт назначения,Стоимость трансфера (вс-чт),Стоимость трансфера (пт-сб)
"MB Sprinter W906 15/19 мест белого цвета, 2018 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"ГАЗель NEXT на 19 мест белого цвета, 2022-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"ГАЗель NEXT на 19 мест белого цвета, 2022-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"ГАЗель NEXT на 19 мест белого цвета, 2022-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"Ford Transit 19 мест белого цвета, 2021-2023 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"Ford Transit 19 мест белого цвета, 2021-2023 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"Ford Transit 19 мест белого цвета, 2021-2023 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"MB Sprinter грузопассажирский белого цвета, 2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",8700,9600
"MB Sprinter грузопассажирский белого цвета, 2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",10440,11520
"MB Sprinter грузопассажирский белого цвета, 2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,8700,9600
"MB Sprinter фургон белого цвета, 2018-2019 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10680,11760
"MB Sprinter фургон белого цвета, 2018-2019 года с водителем","В/из аэропорта Жуковский, Чкаловский",12460,13720
"MB Sprinter фургон белого цвета, 2018-2019 года с водителем",В/из железнодорожных вокзалов г. Москвы,10680,11760
"Mercedes-Benz Vito чёрного цвета, 2018-2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",11600,12800
"Mercedes-Benz Vito чёрного цвета, 2018-2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",13920,15360
"Mercedes-Benz Vito чёрного цвета, 2018-2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,11600,12800
"GAC GN8 (6 мест) чёрного цвета, 2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18650,20550
"GAC GN8 (6 мест) чёрного цвета, 2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",22380,24660
"GAC GN8 (6 мест) чёрного цвета, 2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,18650,20550
"Mercedes-Benz V-Class чёрного цвета, 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18650,20550
"Mercedes-Benz V-Class чёрного цвета, 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",22380,24660
"Mercedes-Benz V-Class чёрного цвета, 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,18650,20550
"Toyota Alphard чёрного цвета, 2019-2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18650,20550
